sgd_inr,usd_inr,xau_inr,Target,Daily_Range,Volatility,MA_25,MA_75,MA_Ratio,Change,Price_Lag1,Change_Lag1,Price_Lag2,Change_Lag2
55.978,74.73,131731.0,0,0.0,0.0,54.63148,54.806306666666664,0.9968100994703044,-0.0032939835834979725,56.163,0.001176533504465338,56.097,0.0035061984579882743
55.84,74.54,132365.0,1,0.0,0.0,54.70376,54.81353333333334,0.9979973315592378,-0.002465254207009826,55.978,-0.0032939835834979725,56.163,0.001176533504465338
56.223,74.86,132564.0,1,0.0,0.0,54.797560000000004,54.8256,0.9994885600887178,0.006858882521489917,55.84,-0.002465254207009826,55.978,-0.0032939835834979725
56.707,75.395,134055.0,1,0.0,0.0,54.909879999999994,54.84193333333334,1.0012389546198832,0.008608576561193848,56.223,0.006858882521489917,55.84,-0.002465254207009826
56.737,75.439,135237.0,0,0.0,0.0,55.014120000000005,54.85885333333334,1.0028302936943145,0.000529035216110918,56.707,0.008608576561193848,56.223,0.006858882521489917
56.491,75.12,133923.0,0,0.0,0.0,55.11004,54.87330666666667,1.0043141802037079,-0.0043357949838730425,56.737,0.000529035216110918,56.707,0.008608576561193848
56.458,74.93,133132.0,0,0.0,0.0,55.21036,54.88861333333333,1.0058618108042325,-0.0005841638491087542,56.491,-0.0043357949838730425,56.737,0.000529035216110918
56.374,74.757,133095.0,0,0.0,0.0,55.30632000000001,54.90448000000001,1.0073188927388075,-0.0014878316624746812,56.458,-0.0005841638491087542,56.491,-0.0043357949838730425
56.223,74.59,132446.0,0,0.0,0.0,55.39744,54.916533333333334,1.008757047058081,-0.002678539752368203,56.374,-0.0014878316624746812,56.458,-0.0005841638491087542
56.197,74.493,132685.0,0,0.0,0.0,55.48892,54.930733333333336,1.0101616460002354,-0.0004624441954359515,56.223,-0.002678539752368203,56.374,-0.0014878316624746812
55.841,74.1,131241.0,0,0.0,0.0,55.568720000000006,54.940039999999996,1.0114430204273606,-0.006334857732619215,56.197,-0.0004624441954359515,56.223,-0.002678539752368203
55.652,74.055,130964.0,0,0.0,0.0,55.63652,54.949146666666664,1.0125092631101824,-0.0033846098744649833,55.841,-0.006334857732619215,56.197,-0.0004624441954359515
55.505,73.82,132309.0,0,0.0,0.0,55.69852,54.956346666666676,1.013504779308474,-0.0026414145044203474,55.652,-0.0033846098744649833,55.841,-0.006334857732619215
55.185,73.77,131181.0,1,0.0,0.0,55.72716,54.95818666666667,1.0139919706229996,-0.0057652463742005056,55.505,-0.0026414145044203474,55.652,-0.0033846098744649833
55.256,73.81,131833.0,0,0.0,0.0,55.762480000000004,54.96125333333333,1.0145780275753054,0.001286581498595618,55.185,-0.0057652463742005056,55.505,-0.0026414145044203474
55.193,73.605,133554.0,1,0.0,0.0,55.78928,54.961586666666676,1.0150594876081935,-0.0011401476762704643,55.256,0.001286581498595618,55.185,-0.0057652463742005056
55.276,73.254,134092.0,1,0.0,0.0,55.820240000000005,54.96630666666667,1.0155355777951731,0.0015038138894425401,55.193,-0.0011401476762704643,55.256,0.001286581498595618
55.392,73.46,134809.0,0,0.0,0.0,55.85132000000001,54.97212,1.015993561827341,0.002098559953686907,55.276,0.0015038138894425401,55.193,-0.0011401476762704643
